Student_ID,Gender,DegreeType,MajorSpecialization,EnglishScore,LogicalReasoningScore,QuantitativeAptitudeScore,EnglishCluster,LogicalReasoningCluster,QuantitativeAptitudeCluster,english_improvement_status,logicalreasoning_improvement_status,quantitativeaptitude_improvement_status
604399,f,B.Tech/B.E.,instrumentation and control engineering,65.0,66.5,81.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
988334,m,B.Tech/B.E.,computer science & engineering,44.0,43.5,21.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
301647,m,B.Tech/B.E.,electronics & telecommunications,48.5,47.5,50.5,2,2,0,A little more focus,A little more focus,Needs Improvement
582313,m,B.Tech/B.E.,computer science & engineering,67.5,62.0,63.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
339001,f,B.Tech/B.E.,biotechnology,57.5,49.5,36.5,1,2,2,Does Not Need Improvement,A little more focus,A little more focus
609356,f,M.Tech./M.E.,instrumentation and control engineering,53.5,59.5,62.0,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
1081649,f,B.Tech/B.E.,mechanical engineering,51.0,49.5,40.5,2,2,2,A little more focus,A little more focus,A little more focus
610842,f,B.Tech/B.E.,computer science & engineering,37.0,47.0,28.0,0,2,2,Needs Improvement,A little more focus,A little more focus
1183070,m,B.Tech/B.E.,information technology,51.0,55.5,44.0,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
794062,f,B.Tech/B.E.,computer science & engineering,50.0,41.0,56.0,2,0,0,A little more focus,Needs Improvement,Needs Improvement
1088206,m,B.Tech/B.E.,electronics & telecommunications,67.5,63.0,48.5,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
1279958,m,B.Tech/B.E.,instrumentation and control engineering,39.5,56.5,64.5,0,1,1,Needs Improvement,Does Not Need Improvement,Does Not Need Improvement
471413,f,B.Tech/B.E.,information technology,49.5,44.5,60.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
1088423,f,B.Tech/B.E.,computer science & engineering,64.0,53.0,70.5,1,2,1,Does Not Need Improvement,A little more focus,Does Not Need Improvement
1066680,m,B.Tech/B.E.,electronics and communication engineering,72.0,63.0,75.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
407672,m,B.Tech/B.E.,information technology,38.5,51.5,46.5,0,2,0,Needs Improvement,A little more focus,Needs Improvement
205633,m,B.Tech/B.E.,computer engineering,47.5,24.5,48.5,2,0,0,A little more focus,Needs Improvement,Needs Improvement
924541,f,B.Tech/B.E.,computer science & engineering,52.0,57.0,62.0,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
512353,m,B.Tech/B.E.,computer science & engineering,36.0,49.5,28.0,0,2,2,Needs Improvement,A little more focus,A little more focus
1136577,m,B.Tech/B.E.,computer science & engineering,54.5,50.5,59.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
781327,m,B.Tech/B.E.,computer science & engineering,24.0,34.0,43.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
764522,f,MCA,computer application,44.0,41.5,55.400000000000006,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
203323,m,B.Tech/B.E.,information technology,35.5,56.5,49.5,0,1,0,Needs Improvement,Does Not Need Improvement,Needs Improvement
267354,m,B.Tech/B.E.,electronics and communication engineering,34.5,36.5,44.5,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
839626,f,B.Tech/B.E.,computer engineering,44.0,44.0,38.5,0,0,2,Needs Improvement,Needs Improvement,A little more focus
1169332,f,B.Tech/B.E.,computer science & engineering,37.0,41.0,32.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
669692,m,B.Tech/B.E.,information technology,18.0,36.5,31.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
48029,m,B.Tech/B.E.,computer engineering,50.5,49.5,69.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
1268344,m,B.Tech/B.E.,mechanical engineering,63.0,55.5,57.0,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
1274612,m,B.Tech/B.E.,electronics and communication engineering,61.5,59.0,58.5,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
230553,m,B.Tech/B.E.,information technology,52.5,50.5,57.5,2,2,0,A little more focus,A little more focus,Needs Improvement
1259836,m,B.Tech/B.E.,computer science & engineering,45.5,53.0,44.0,2,2,0,A little more focus,A little more focus,Needs Improvement
634352,f,B.Tech/B.E.,information technology,61.5,59.5,72.0,1,1,1,Does Not Need Improvement,Does Not Need Improvement,Does Not Need Improvement
977034,m,MCA,computer application,44.0,60.5,52.0,0,1,0,Needs Improvement,Does Not Need Improvement,Needs Improvement
668869,m,B.Tech/B.E.,electronics and communication engineering,73.0,52.5,69.0,1,2,1,Does Not Need Improvement,A little more focus,Does Not Need Improvement
915600,m,B.Tech/B.E.,computer science and technology,59.0,44.0,38.5,1,0,2,Does Not Need Improvement,Needs Improvement,A little more focus
628753,m,B.Tech/B.E.,information technology,54.5,48.5,53.0,2,2,0,A little more focus,A little more focus,Needs Improvement
1036215,m,B.Tech/B.E.,computer science & engineering,43.0,46.0,32.0,0,2,2,Needs Improvement,A little more focus,A little more focus
955352,m,B.Tech/B.E.,computer science & engineering,34.5,47.0,36.5,0,2,2,Needs Improvement,A little more focus,A little more focus
449417,m,MCA,computer application,46.400000000000006,47.5,57.5,2,2,0,A little more focus,A little more focus,Needs Improvement
1038837,m,B.Tech/B.E.,information technology,46.5,57.0,41.5,2,1,2,A little more focus,Does Not Need Improvement,A little more focus
309954,m,B.Tech/B.E.,computer engineering,47.5,49.5,56.5,2,2,0,A little more focus,A little more focus,Needs Improvement
54289,m,MCA,computer application,41.5,36.5,47.5,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
615097,m,MCA,computer application,27.5,48.5,53.0,0,2,0,Needs Improvement,A little more focus,Needs Improvement
96613,m,B.Tech/B.E.,electronics and communication engineering,53.5,41.5,63.5,2,0,1,A little more focus,Needs Improvement,Does Not Need Improvement
542950,m,B.Tech/B.E.,electrical engineering,50.0,56.0,56.0,2,1,0,A little more focus,Does Not Need Improvement,Needs Improvement
781196,m,B.Tech/B.E.,automobile/automotive engineering,54.5,53.5,60.5,2,2,1,A little more focus,A little more focus,Does Not Need Improvement
38441,m,MCA,computer application,50.5,44.5,57.5,2,2,0,A little more focus,A little more focus,Needs Improvement
1269557,m,B.Tech/B.E.,information technology,32.5,37.5,37.0,0,0,2,Needs Improvement,Needs Improvement,A little more focus
512864,m,B.Tech/B.E.,electronics and electrical engineering,62.5,58.5,53.0,1,1,0,Does Not Need Improvement,Does Not Need Improvement,Needs Improvement
390353,m,B.Tech/B.E.,electronics and communication engineering,35.5,48.5,42.5,0,2,2,Needs Improvement,A little more focus,A little more focus
1230200,m,B.Tech/B.E.,computer science & engineering,49.0,61.5,72.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
206976,m,B.Tech/B.E.,electronics and electrical engineering,54.400000000000006,41.5,50.400000000000006,2,0,0,A little more focus,Needs Improvement,Needs Improvement
908780,f,B.Tech/B.E.,information technology,34.5,49.5,32.5,0,2,2,Needs Improvement,A little more focus,A little more focus
982729,m,B.Tech/B.E.,information technology,30.0,52.0,33.0,0,2,2,Needs Improvement,A little more focus,A little more focus
385303,m,B.Tech/B.E.,electronics and communication engineering,52.5,60.5,59.5,2,1,1,A little more focus,Does Not Need Improvement,Does Not Need Improvement
355322,m,B.Tech/B.E.,computer science & engineering,41.5,35.5,45.5,0,0,0,Needs Improvement,Needs Improvement,Needs Improvement
730991,m,B.Tech/B.E.,computer science & engineering,43.0,51.0,41.5,0,2,2,Needs Improvement,A little more focus,A little more focus
